Patch_Size,Dim,Depth,Heads,pos_emb_ratio,Accuracy_old,Accuracy_new,phase_strong_old,magnitude_strong_old,normal_strong_old,FGSM_strong_old,fourier_strong_old,phase_strong_new,magnitude_strong_new,normal_strong_new,FGSM_strong_new,fourier_strong_new
4.0,256.0,6.0,2.0,0.25,67.34,69.05,17.3,18.26,25.14,14.23,0.48,18.39,18.89,24.48,13.01,0.16
4.0,256.0,6.0,2.0,0.5,67.34,67.61,17.3,18.26,25.14,14.23,0.48,16.58,17.16,23.01,13.41,0.19
4.0,64.0,6.0,4.0,0.0,55.73,54.31,13.62,14.41,14.88,10.24,1.24,14.29,14.08,16.26,9.14,0.36
4.0,64.0,6.0,4.0,0.125,55.73,58.2,13.62,14.41,14.88,10.24,1.24,14.51,15.29,17.05,9.95,1.24
4.0,64.0,6.0,4.0,0.2,55.73,57.98,13.62,14.41,14.88,10.24,1.24,15.09,15.41,17.73,10.26,0.91
4.0,64.0,6.0,4.0,0.25,55.73,56.8,13.62,14.41,14.88,10.24,1.24,16.08,16.36,18.33,10.58,1.11
4.0,64.0,6.0,4.0,0.5,55.73,56.38,13.62,14.41,14.88,10.24,1.24,13.95,14.36,17.37,10.57,0.72
4.0,128.0,6.0,4.0,0.0,62.52,61.08,14.64,15.73,18.94,10.66,0.51,15.8,15.9,19.32,9.05,0.21
4.0,128.0,6.0,4.0,0.125,62.52,65.75,14.64,15.73,18.94,10.66,0.51,17.79,18.38,24.01,12.1,0.22
4.0,128.0,6.0,4.0,0.2,62.52,65.25,14.64,15.73,18.94,10.66,0.51,19.29,20.56,26.3,13.21,0.27
4.0,128.0,6.0,4.0,0.25,62.52,65.34,14.64,15.73,18.94,10.66,0.51,17.44,17.78,22.19,11.5,0.49
4.0,128.0,6.0,4.0,0.5,62.52,64.26,14.64,15.73,18.94,10.66,0.51,16.03,16.89,22.15,12.33,0.29
4.0,256.0,6.0,4.0,0.0,69.29,63.93,19.61,19.67,26.18,14.77,0.4,17.05,17.73,21.71,11.05,0.11
4.0,256.0,6.0,4.0,0.125,69.29,70.51,19.61,19.67,26.18,14.77,0.4,18.36,18.99,25.48,13.41,0.2
4.0,256.0,6.0,4.0,0.2,69.29,70.1,19.61,19.67,26.18,14.77,0.4,18.85,19.27,25.08,13.27,0.15
4.0,256.0,6.0,4.0,0.25,69.29,69.78,19.61,19.67,26.18,14.77,0.4,19.66,20.14,25.89,13.43,0.19
4.0,256.0,6.0,4.0,0.5,69.29,68.88,19.61,19.67,26.18,14.77,0.4,18.74,18.69,25.53,13.4,0.22
4.0,64.0,6.0,8.0,0.0,57.15,55.83,12.58,12.71,14.31,9.58,0.96,13.28,13.35,17.47,8.07,0.14
4.0,64.0,6.0,8.0,0.125,57.15,57.32,12.58,12.71,14.31,9.58,0.96,13.99,15.02,17.53,9.71,0.62
4.0,64.0,6.0,8.0,0.2,57.15,57.58,12.58,12.71,14.31,9.58,0.96,16.43,16.67,21.39,10.5,0.19
4.0,64.0,6.0,8.0,0.25,57.15,58.17,12.58,12.71,14.31,9.58,0.96,14.85,15.74,18.89,9.48,0.4
4.0,64.0,6.0,8.0,0.5,57.15,57.47,12.58,12.71,14.31,9.58,0.96,14.74,14.99,17.88,9.52,0.37
4.0,128.0,6.0,8.0,0.0,65.07,61.18,17.99,18.42,24.75,12.86,0.25,15.06,15.83,19.16,8.86,0.07
4.0,128.0,6.0,8.0,0.125,65.07,65.38,17.99,18.42,24.75,12.86,0.25,18.98,19.08,25.75,14.12,0.17
4.0,128.0,6.0,8.0,0.2,65.07,66.71,17.99,18.42,24.75,12.86,0.25,18.94,19.88,25.14,12.68,0.24
4.0,128.0,6.0,8.0,0.25,65.07,66.1,17.99,18.42,24.75,12.86,0.25,17.21,18.02,22.64,10.97,0.24
4.0,128.0,6.0,8.0,0.5,65.07,64.7,17.99,18.42,24.75,12.86,0.25,17.3,18.28,23.8,11.5,0.23
4.0,256.0,6.0,8.0,0.0,69.38,64.64,16.52,17.5,23.7,13.18,0.25,16.78,17.42,21.95,10.88,0.21
